SG1 [strain],SG2 [strain],SG3 [strain]
430.3735405,-81.28249594,-74.6703953
430.4778446,-81.31453558,-74.5422893
430.4028491,-81.26690908,-74.49035443
430.4071592,-81.25218817,-74.59422416
430.3244056,-81.2149529,-74.57950929
430.4752586,-81.25824972,-74.58383719
430.4580182,-81.33445211,-74.38561911
430.1856208,-81.40459295,-74.29559867
430.2657884,-81.38121267,-74.35532377
430.2295837,-81.35263678,-74.34407122
430.2140674,-81.18637701,-74.3449368
430.14683,-81.17252203,-74.43322607
430.0132174,-81.29808279,-74.17441731
430.1157974,-81.22880789,-74.15970244
430.045112,-81.28855749,-74.20904056
430.096833,-81.22621008,-74.31896936
429.9718405,-81.27643438,-74.06275735
429.794265,-81.32319494,-74.16922383
430.0416639,-81.06514593,-74.25837868
429.8658124,-81.25478597,-74.27569031
429.9658064,-81.24959036,-74.18999777
429.8839148,-81.14394613,-74.02294062
429.8761566,-81.02617879,-74.13460058
429.8209875,-81.18984075,-73.99870434
429.8494341,-81.10151525,-74.07920339
